mz,rt,Exp1_CRR_11a_POS,Exp1_CRR_12a_POS,Exp1_CRR_13a_POS,Exp1_CRR_14a_POS,Exp1_CRR_15a_POS,Exp1_CRR_16a_POS,Exp1_CRR_17a_POS,Exp1_CRR_18a_POS,Exp1_CRR_20a_POS,Exp1_CRR_21a_POS,Exp1_HCC_11a_POS,Exp1_HCC_12a_POS,Exp1_HCC_13a_POS,Exp1_HCC_14a_POS,Exp1_HCC_15a_POS,Exp1_HCC_16a_POS,Exp1_HCC_17a_POS,Exp1_HCC_18a_POS,Exp1_HCC_19a_POS,Exp1_HCC_20a_POS,isotopes,adduct
#,#,CRR,CRR,CRR,CRR,CRR,CRR,CRR,CRR,CRR,CRR,HCC,HCC,HCC,HCC,HCC,HCC,HCC,HCC,HCC,HCC,#,#
50.15061281,535.4995251,626.5595983,199.4274229,52.65906121,61.58068856,2744.27795,1696.192264,770.6248355,54.71522701,150.5841428,164.7429139,160.2419095,379.066452,172.9758127,54.98176248,266.383049,251.2849526,175.8637189,99.20645842,71.44511919,576.2896732,,
52.62240899,496.0067351,201.4664064,88.10688896,60.24818247,83.97934144,277.5083995,167.3016722,62.23809686,50.56487974,320.8638802,335.229243,157.2842806,1051.625086,404.7821918,74.99736622,363.3446427,141.5197323,249.9551617,67.60500389,58.14923909,176.0206594,,
53.34984879,522.4012299,314.8256378,125.0492867,84.94897624,85.40991648,150.9199594,102.6925452,83.12298639,67.13750459,153.8233172,252.1518205,325.2607034,593.7367648,278.8856038,64.31681285,330.4618879,173.5867213,162.8231074,126.016512,75.16903769,136.4521988,,
54.08903324,522.6847203,457.8230041,142.4182815,63.8317669,75.88200206,789.1603511,569.1239179,226.561694,56.43638279,174.4062166,209.8121158,168.229105,576.3651361,249.4630144,56.32153475,277.8675508,227.9457811,201.3016412,83.61303891,63.96648455,396.4642897,,
55.93628419,584.2499347,372.6760914,364.5914862,384.0496465,415.8495886,366.5496029,353.8754041,361.1272548,381.9204708,346.678327,369.3749723,243.2618416,222.206742,208.1909932,223.2766779,184.3873579,184.3347927,184.1505345,166.7744252,154.509605,160.9154889,,
56.93923814,579.7471323,148.9310685,267.9055478,125.8456117,123.0351426,465.7093714,461.5274748,165.6444866,121.2871148,108.5958254,116.9477416,78.32207318,101.5653271,99.5215309,74.85093601,65.1981954,74.09751527,56.91293064,51.27113931,48.33741602,53.70055992,,
60.04548962,140.720587,221.5605178,110.2246941,82.79643788,149.6069307,242.9228598,123.5566772,117.6902614,156.2845264,109.2950434,152.1843067,223.8502961,40.91404614,162.5194822,140.7262774,61.7272388,71.99166037,70.02379243,51.86550468,65.0237422,72.39156535,,
60.08022401,23.72662419,83.07531027,90.44680767,122.1014901,181.0230478,115.0547867,142.2069815,103.9263455,103.4791866,96.92797126,107.7415022,71.38088606,79.00128057,76.91064957,57.87611815,52.59270162,56.69929186,45.16847291,41.77628527,61.1154174,47.1762669,,[M+2H-H20]2+ 136.156
61.00614291,573.1139524,1446.092167,1510.537095,1561.342208,1650.8108,1475.044727,1325.174077,1405.282636,1579.184477,1371.308592,1393.201344,807.3807547,829.8353858,807.0236847,780.9888432,722.2560776,716.8936915,855.4429273,724.1858878,835.5786684,690.7420158,,[M+H-H20]+ 78.0089
62.98328331,24.96526123,84.40926739,98.35578598,101.103481,118.5618321,93.06892908,146.0831912,97.4236527,114.5166064,94.14303783,92.44115809,78.02301878,89.53507248,53.18798395,76.22926497,57.94971085,55.72124725,81.40453688,58.37866207,57.75441611,72.10764224,,
64.00423666,24.0293949,75.11568983,90.76469038,170.178426,69.46423873,78.92085082,176.8081148,188.1961041,176.2897938,126.7175518,115.8052639,27.79691981,26.45432328,32.27956756,25.0509505,27.59343375,23.67827942,24.98290336,25.15848264,22.04417654,23.46781508,,
67.05431096,121.4581184,154.3992778,106.6263888,136.1126355,158.7394788,252.3598808,132.2239009,149.5566243,99.20015516,91.02946488,70.83086151,289.6780735,69.25453773,411.6243402,297.5035439,61.36201179,73.93321645,79.77429277,194.1137638,97.01170224,230.1352768,,
69.03637351,245.8138279,505.5232675,543.9942199,1009.725155,1088.89836,691.2774299,795.2538906,983.0275688,618.8535451,826.7460696,872.3794189,734.7215628,683.684765,490.5118636,385.829831,942.4713457,805.8185616,471.2129195,541.9476852,632.3906212,225.840351,,
69.06487351,31.44867071,1005.563854,993.7917934,787.0343879,705.3464398,926.2016577,703.6777239,620.3517926,914.0013833,742.0645369,537.1035019,653.9307002,706.4347024,732.743765,885.7273111,290.0280223,582.2797457,659.6661252,616.7565457,341.5756108,856.9412056,,
69.32906839,217.6252078,299.6393657,203.2407018,85.31106375,151.8314561,304.913517,194.8207304,115.5210968,125.1951355,139.080364,174.1761106,327.2493247,394.9985105,622.5373217,463.0332159,101.8425664,148.7859903,163.0581443,182.3034735,76.5093629,348.7635423,,
70.01505414,573.1370576,2027.745894,2044.48814,2211.939573,2158.996662,1890.187812,1757.365753,1842.362442,2028.665249,1903.717406,1943.475928,1381.004223,1298.794003,1314.774649,1334.695328,1180.022013,1260.904407,1383.22594,1202.183001,1346.451781,1125.865295,,[3M+2H]2+ 45.9988
70.06482584,24.14798863,966.1334211,956.7326616,974.3344931,814.8940857,860.1655599,1215.647561,878.2009254,911.9897003,1102.571153,685.4506559,933.8975886,569.8384459,860.0361528,922.7843078,463.9708212,950.390418,648.4436728,571.3198331,969.326784,601.6058536,,
70.96113357,581.8161077,1538.645925,1519.860877,1615.622325,1557.234739,1442.526111,1488.758447,1503.847575,1574.987672,1409.587204,1407.422039,1030.769768,959.8028196,887.6882037,866.3730674,731.3873752,740.4701475,752.901701,624.5997059,634.1551979,580.3414681,,[M+2Na+2K-H]3+ 89.9888 [M+2Na+2K-H]3+ 89.9888
