mz,rt,Exp1F_CRR_1_POS,Exp1F_CRR_10_POS,Exp1F_CRR_2_POS,Exp1F_CRR_3_POS,Exp1F_CRR_4_POS,Exp1F_CRR_5_POS,Exp1F_CRR_6_POS,Exp1F_CRR_7_POS,Exp1F_CRR_8_POS,Exp1F_CRR_9_POS,Exp1F_HCC_1_POS,Exp1F_HCC_10_POS,Exp1F_HCC_2_POS,Exp1F_HCC_3_POS,Exp1F_HCC_4_POS,Exp1F_HCC_5_POS,Exp1F_HCC_6_POS,Exp1F_HCC_7_POS,Exp1F_HCC_8_POS,Exp1F_HCC_9_POS,isotopes,adduct
#,#,CRR,CRR,CRR,CRR,CRR,CRR,CRR,CRR,CRR,CRR,HCC,HCC,HCC,HCC,HCC,HCC,HCC,HCC,HCC,HCC,#,#
52.82280327,550.9074962,207.2527878,134.5394053,213.3525793,249.7411882,221.137489,278.4980382,141.8640026,278.4405571,266.9800934,153.7088075,121.4090156,149.8016147,188.819666,239.7746004,261.1747944,294.9639876,192.4049595,182.5589367,185.3789138,135.1696615,,
55.92997074,707.8082042,88.33913667,113.9844591,117.6712697,103.162176,129.5596105,186.8941925,137.5099185,109.6097838,102.9935337,123.3705165,123.4541043,111.05274,109.0287085,108.3468666,108.55192,0,117.9745762,124.8136085,127.6171458,120.2408753,,
61.0079145,697.6149462,908.6402331,1049.238211,925.8421387,944.5241953,943.7658063,936.876078,1064.199072,1038.933245,1000.69118,986.0366922,943.5245283,1020.517145,980.6250797,948.2888807,909.6404151,922.9594937,1025.702431,1003.584528,949.4605181,1010.377696,,
62.98130082,31.22936149,198.1623303,177.0123405,164.6130159,180.2626986,174.0044705,128.8918448,190.211249,188.0164834,170.7196726,193.8119031,194.0073459,179.2006888,188.0054558,182.1560495,203.8102368,196.0137149,200.2953894,199.9850029,182.1312244,187.6860747,,
66.1208143,292.0593955,133.92038,94.88426169,117.6990837,73.88525176,111.6426058,117.0106516,85.53291551,128.2612951,126.8700866,118.2970859,121.6331081,142.0642215,101.8541695,95.38549188,92.20480078,121.7514412,102.3083114,139.8721781,125.5019951,135.8327718,,
69.06990478,49.01017857,245.2937376,290.0049152,414.8267277,255.7351475,210.1173788,256.6168537,338.7956992,339.2334608,386.1473181,348.8335251,545.1439894,380.4448748,298.8940895,343.2115775,263.552782,506.3454419,229.9631453,382.9809223,367.2077215,408.8848079,,
70.06035166,29.30361699,917.0392761,1599.969619,3132.030433,879.0343191,1506.199804,2327.110452,1568.235199,971.489628,1378.909059,1458.193191,1755.088809,1046.247516,2280.602466,1622.842298,1172.09809,1771.154189,1172.783873,838.5453289,1256.059189,1777.224442,,
70.01323786,698.1548929,1417.032762,1493.655671,1335.947814,1441.959381,1425.394832,1411.87717,1496.210493,1469.699223,1478.489923,1458.901416,1403.966044,1494.909872,1385.050386,1371.299172,1323.934141,1400.739068,1560.07909,1554.847903,1410.379564,1527.093614,,[M+Na]+ 47.0215
70.96576549,705.0106275,241.9291675,279.6937212,286.4331125,259.9445405,235.0305598,252.5807984,240.4075326,245.0503356,266.5541816,242.9674796,249.8845944,255.4173412,258.5180278,253.2758651,260.6091985,250.7633608,264.2568906,272.5274653,252.6322433,245.1987644,,[M+H-CH4]+ 85.9929 [M+H-CH4]+ 85.9929
72.08014013,34.11877222,2625.784358,3382.308187,5197.977867,2037.921859,2176.6247,3179.052346,3126.127816,3832.331003,3820.678482,3925.232043,6115.091877,4387.415969,4002.00601,3409.870834,3554.644567,5957.064824,3121.1055,5018.573738,4984.536512,3518.091524,,
72.93672634,706.418481,623.6957068,479.1634327,623.748854,581.5129911,561.1766026,545.3350389,534.5007728,526.0624528,479.1033442,463.7251742,742.918029,470.7798317,671.2254018,572.5687184,553.5666448,534.8633884,531.6600291,504.2002837,454.9925795,456.1558628,,
72.9376069,12.17725899,819.2723759,787.3442017,745.365521,792.2264413,869.3212402,843.8900104,685.8513457,808.1122438,863.9015913,761.5938954,746.9502607,737.7773552,739.2135482,832.2299719,772.9462351,777.0044462,657.8849706,825.0042096,809.2796502,763.8278633,,
73.97474971,703.2731091,126.6426451,134.4408426,119.7040853,129.7774101,137.8520795,123.4704195,142.1111485,133.7523697,144.1760873,127.2120236,159.7455709,132.4689021,125.3796447,137.1249883,141.0714405,132.7095276,161.8431052,151.370879,97.04474564,135.7683862,,
74.93729718,700.6243615,168.8376579,184.4858208,169.9438132,183.0312704,171.5914848,183.5499357,187.9347839,179.1156243,174.021543,183.6666667,182.7430987,183.9907615,173.9675743,164.072791,165.6943341,172.3859385,192.2978231,183.2416381,191.5621576,180.93,,
77.04422223,41.45340847,81.51040007,76.40569164,87.3384986,72.79625113,93.58578139,67.534963,82.93866778,92.27934571,89.86690451,80.53633258,106.7176855,82.71453314,96.90090925,76.32160498,81.34301015,89.97569491,101.2514079,70.99133473,99.58968717,91.30576987,,
77.99920732,702.5055194,161.6575062,101.3741291,157.2854176,148.8828238,157.0069211,141.6097414,128.4966419,117.434966,108.6781815,102.3636861,175.8680795,93.27964878,175.4274392,145.1088379,145.6860971,119.7489811,125.4032206,139.4519631,120.6841344,109.2437487,,
79.01681917,699.8283157,853.8813106,869.9354709,880.3064781,804.9684245,879.4847239,870.4189195,888.4164012,883.161224,935.5656175,908.7509762,893.2296647,926.9607787,885.5990066,836.2424563,893.9194176,835.9525413,937.8958885,901.1952532,904.5827076,915.3577184,,
79.05881613,84.96814875,79.62130444,101.4062728,109.3440188,69.63135239,91.6564943,96.93000938,86.56515311,87.47837051,116.1120881,91.55148184,123.5310132,109.4871709,89.86360801,73.42656562,107.471182,84.02781884,86.30024322,70.40948868,71.43381507,119.2348724,,[M+H-CH2]+ 92.0654
