mz,rt,X120621_Pivus_000101,X120621_Pivus_000201,X120621_Pivus_000301,X120621_Pivus_000401,X120621_Pivus_000501,X120621_Pivus_000601,X120621_Pivus_000701,X120621_Pivus_000801,X120621_Pivus_000901,X120621_Pivus_001001,X120621_Pivus_001101,X120621_Pivus_001201,X120621_Pivus_001301,X120621_Pivus_001401,X120621_Pivus_001501,X120621_Pivus_001601,X120621_Pivus_001701,X120621_Pivus_001801,X120621_Pivus_001901,X120621_Pivus_002001,isotopes,adduct
#,#,normal,normal,normal,normal,normal,normal,normal,normal,normal,normal,normal,normal,normal,normal,normal,normal,normal,normal,normal,normal,#,#
50.14284479,656.9055356,6558.309793,6309.811526,7666.652965,5946.479358,7357.715632,7614.888894,6815.608731,7292.686464,6218.156422,8133.240359,6413.526905,7700.656491,6143.695687,6765.086194,7679.237795,4824.410836,8081.812061,7103.274115,5261.973997,7099.150581,,
51.25913694,653.5324098,7338.453532,7315.031812,7732.886517,7072.417518,7936.546682,8188.352611,7596.605057,8375.395106,7535.181487,8723.103595,7360.413516,8261.770342,6966.281195,6929.366427,7879.950568,7553.803577,8763.236022,8094.538466,6313.511599,8122.035555,,[M+H]+ 50.2526 [M+2H]2+ 100.513
53.23092054,652.6870296,7740.509571,7253.734639,8322.770842,6881.50832,7134.898716,7526.577456,7982.810897,9008.861492,8145.344092,9162.47732,7444.50341,7709.767401,6615.066316,7376.787029,8139.051656,6928.773276,8713.049487,7624.035816,6477.075458,7730.400288,,[M+2H]2+ 104.459
54.35276697,657.6350184,7006.097599,6334.591516,9515.884865,6310.592592,7305.806478,7098.549993,6579.304068,8341.017948,7540.842195,7361.898066,6165.304007,6737.748424,5484.106694,7009.561265,7471.164976,6603.153052,8802.268638,7293.501618,5425.187532,7468.1816,,
55.93490449,1092.722911,10030.25165,8456.553007,7667.402693,7152.639301,7449.491477,6526.920214,5932.79431,6677.243309,6646.405017,5724.14653,4886.43391,5458.914372,5201.484002,4687.765049,5154.359684,7557.392947,7443.520101,6640.609569,6442.017257,6584.8661,,
67.06555321,149.7486813,3178.556402,3783.61086,3812.229997,3222.426897,1444.928953,2029.535497,3444.631306,1976.036112,2813.758528,2359.93727,3460.671402,2263.789191,2984.184294,1158.705455,2789.65988,3218.659522,1302.402916,2034.31973,2400.116387,2198.409251,,[M+2Na]2+ 88.1478
69.07078738,420.664167,12077.53914,12375.19207,12456.36522,6433.224313,7375.943602,5828.57525,12147.46075,8643.487015,8588.849638,14074.25238,8789.926266,11986.43065,6402.471974,10255.52271,8680.586379,9738.612412,7144.817699,11123.70952,6729.023134,6846.410138,,
69.07074073,462.3190981,12703.68056,9118.215031,11407.89502,6218.865232,8816.442214,5435.348256,10254.07774,9580.122875,8666.411895,15121.95562,10277.61805,10115.37786,7300.667623,11179.55588,10984.38423,11065.2886,13201.4679,15095.68539,7729.083623,12178.83978,,[M+Na]+ 46.0847 [M+H-C2H4]+ 96.0945
70.06189334,33.85350146,4052.795896,4429.165509,3936.931537,4077.685508,4661.68774,5134.753403,3743.974026,3763.94526,2522.982346,3136.551518,4576.071943,3411.779291,3354.504226,5509.623331,2890.366216,3410.476075,2960.910968,2237.890648,3617.014251,2932.50036,,[M+H-HCOOH]+ 115.063
